Wallet Address,Farm 1,Farm 2,Farm 3,Farm 4,Total ArcX Distribution,ArcX Price,Total USDC
0xec89639d883a9ff2086c6deb0d766064b5bbea03,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0xa8de8b84c4f4aab4bd90447872c48b6522def7dc,0.20295,0.18182,0,0,0.38477,2500,961.925
0xe175a11f7af6ced6930d74244cfd4cf7b443a855,0.20295,0,0,0,0.20295,2500,507.375
0x45acd4819a22456228da444aa1d75e7202fad021,0.20295,0,0,0,0.20295,2500,507.375
0xa06fc4bb730039b6970acb7aebd444dd217428b4,0.20295,0,0,0,0.20295,2500,507.375
0xe6edab836662a5a9f8624f3aa4c12a53595ebb56,0.20295,0.18182,0,0,0.38477,2500,961.925
0x596157f99e6b5e8c292581620883ce202f3e3092,0.20295,0,0,0,0.20295,2500,507.375
0x10cb4effc29a4300809182246e968bac778cdd84,0.20295,0,0,0,0.20295,2500,507.375
0xf9f02eb35cc9f22a69daa26be2b1a57e3ab4bd53,0.20295,0,0,0,0.20295,2500,507.375
0xdebc0d58526d6c0db42032b43e2341a4458d6594,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x2b659ac8a4aaea196e2a29028e766152d1185771,0.20295,0.18182,0,0,0.38477,2500,961.925
0x5e1f5a65d18a9a7e0f9f95706b906d66a760d63f,0.20295,0.18182,0,0,0.38477,2500,961.925
0x8335bff7ce4cdbd37baf0aae5bddbd58ab0f6854,0.20295,0.18182,0,0,0.38477,2500,961.925
0x9d3f4eeb533b8e3c8f50dbbd2e351d1bf2987908,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x5d39036947e83862ce5f3db351cc64e3d4592cd5,0.20295,0,0,0,0.20295,2500,507.375
0x6bb813898731f9c016cb8453baf9bfb301a3b650,0.20295,0.18182,0,0,0.38477,2500,961.925
0x6496b57cd93c607527b418ef584a6b293b80a718,0.20295,0.18182,0,0,0.38477,2500,961.925
0x9183a92991500846f6cd331234f20affe915b59d,0.20295,0,0,0,0.20295,2500,507.375
0xa33c7f924399b59a8ee627388a108beab5e12eaf,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x91caab3c0e9111043c97f5b3f10f614a193a11c9,0.20295,0.18182,0,0,0.38477,2500,961.925
0xaa039ccea6f5d6a15feaed241a3f2ecaed62db10,0.20295,0,0,0,0.20295,2500,507.375
0x292b78a5ad6214971c0ec79cb9d7eb3cf20957fb,0.20295,0,0,0,0.20295,2500,507.375
0x26a61f235b88c32b3b2ba9053e28040da12481ac,0.20295,0,0,0,0.20295,2500,507.375
0x22a15a889d5b8647af2f55c0b2cc4087f6c5e9db,0.20295,0,0,0,0.20295,2500,507.375
0xd9a94545515edb558c3d408a3c990cb4ee067d95,0.20295,0.18182,0,0,0.38477,2500,961.925
0x506ffe2d4080417423df55c2c7e6a718416e8d91,0.20295,0,0,0,0.20295,2500,507.375
0xe649edcb64ea6512a95b150da18bfd20c84bc549,0.20295,0,0,0,0.20295,2500,507.375
0x7263198c709a456cfdb9d968c9ec56dfb111e5b2,0.20295,0,0,0,0.20295,2500,507.375
0x92cfdceeb276a6bc2f13b6907cd8e6ac245dd0fe,0.20295,0.18182,0,0,0.38477,2500,961.925
0x87cd5161b1b942dc2f99d9a0bd52f73321021519,0.20295,0,0,0,0.20295,2500,507.375
0x9c22d83fb0315263566740d018f08e8c075fc927,0.20295,0.18182,0.25316,0,0.63793,2500,1594.825
0x750c31d2290c456fcca1c659b6add80e7a88f881,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x2915f92006f5a679c4fa6b88c4aa6fe951e91381,0.20295,0.18182,0,0.54598,0.93075,2500,2326.875
0x796308116a54086e9cef325737f37189f2a79cbd,0.20295,0,0,0,0.20295,2500,507.375
0x72515452db16e9cdc1e6f1841fc6e07fab81c195,0.20295,0,0,0,0.20295,2500,507.375
0xfec18996c36d02902e4c55bcfb7a1c73aa1500cd,0.20295,0.18182,0.25316,0,0.63793,2500,1594.825
0xbd6f5bdc401ab1ca811e40755f4a2ddad75ce2cc,0.20295,0,0,0,0.20295,2500,507.375
0xf6b25a5dcb117e524c8c7355af90886286e9f33d,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x1ec2c4e7fff656f76c5a4992bd5efa7e7ff1a460,0.20295,0.18182,0,0.54598,0.93075,2500,2326.875
0x591ed97fa362a2cb78be9d69c8efe70750a602d4,0.20295,0,0,0,0.20295,2500,507.375
0x68057266b9e20a60c55d7b50eb6f22117b1eb842,0.20295,0.18182,0,0.54598,0.93075,2500,2326.875
0x7a264bdfb706f4299822e21da7b19cf0822f0afc,0.20295,0,0,0,0.20295,2500,507.375
0xddf4538cf464d587fb22d2349a465b16c3ffaf63,0.20295,0.18182,0,0,0.38477,2500,961.925
0x9b0c19000a8631c1f555bb365bde308384e4f2ff,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x8375a41c445df074709eefa1f4aefee5b8b15c59,0.20295,0.18182,0,0.54598,0.93075,2500,2326.875
0x98e7d41cb1822fc5e86f41c0290561cffcf87e99,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x8cd9f9c08c6a3f891bc570f1d6a3dc91c1f62bb0,0.20295,0.18182,0,0,0.38477,2500,961.925
0x8be8247ef3a329b06cf3ce3d5b8ad3ca3ed642c0,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x2bbf6c4f339c26231bd4fc6eb4b8c3dcdfcb2250,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0xb9ccfc18b941a2cc51a956aa6c83360eb9d58de7,0.20295,0,0,0,0.20295,2500,507.375
0x6110aef5caa6c6c0cc0a30ae20c124ffccd49499,0.20295,0,0.25316,0.54598,1.00209,2500,2505.225
0x970dafec8079e8b7500177a7d66873bf7d01f7af,0.20295,0,0,0,0.20295,2500,507.375
0xddc60d163015cf5ca1369d557a2ca1cc2de1f1e3,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0xe159827b6afba273c764b82af51770659891167e,0.20295,0,0,0,0.20295,2500,507.375
0x573e4f4537ac28796a79598600018a77c070a6a0,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x832cb06491a4b625c11ae763779eb238eace3acd,0.20295,0,0,0,0.20295,2500,507.375
0x965b813b302dfccdf6c2f676d59d7d3c960d3582,0.20295,0.18182,0,0,0.38477,2500,961.925
0xb529409be46dc91c6f1fb183db42c5fef5150c1d,0.20295,0.18182,0,0,0.38477,2500,961.925
0x000b79f52356189c80a9d3ada3911d4438218516,0.20295,0.18182,0,0,0.38477,2500,961.925
0x99391c6f4d33ddac56e0856db4ef0013851031bd,0.20295,0,0,0,0.20295,2500,507.375
0x0c30a911cfee90172dba6533da18593c9f04f807,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x3c6c0c4eda9f73fada5220b5e9a7d73c521367f3,0.20295,0.18182,0,0,0.38477,2500,961.925
0xe3054fc03e36ffb252daf7ba2cbfcaa2e3d24ac5,0.20295,0,0,0,0.20295,2500,507.375
0xd3802dce7f7a54d59e7a64329d287624ff3f495a,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x0f87dd03a74e6a48d56661d96f44880c79b9d795,0.20295,0.18182,0,0,0.38477,2500,961.925
