Address,Tokens To Receive (Post Split)
0x896b94f4f27f12369698C302e2049cAe86936BbB,333333333333333000000000
0x90E1F595Abc8D731cf82031c974aDD334B84b29E,262064235897436000000000
0x3eF7f258816F6e2868566276647e3776616CBF4d,241025641025641000000000
0x4c46f9a3Da4F7F2911e29dae334ebCf09101a669,205128205128205000000000
0x002A5dc50bbB8d5808e418Aeeb9F060a2Ca17346,205128205128205000000000
0x0EB4ADD4bA497357546DA7F5D12D39587cA24606,205128205128205000000000
0x376955C79B654e1F80733D127394d8008e953882,205128205128205000000000
0x549C0421c69Be943A2A60e76B19b4A801682cBD3,205128205128205000000000
0xC1fc118D52e4Bc0A257F6744c77A611ad09f7777,192271220512821000000000
0x1ad015A04C3a21330a388f6a0995c7C092E66F93,192047025641026000000000
0xF50F1f8635823Ac38A3f36af4478fFa8a2810424,172966112820513000000000
0xe5D0Ef77AED07C302634dC370537126A2CD26590,153846153846154000000000
0x66F932Ad6d530603ca9c95AAa9eD6348cBbf018E,146725158974359000000000
0xD4F513A3A8Db3AB5cAa1a5B4c8cE812893B32760,128563958974359000000000
0xD6E6A9d952f56E48462092bBaDaB346e95E987A4,118501743589744000000000
0xB5fC9EEf8f391051ECfC1c7d71D617181A56539B,112030061139487000000000
0xA4Db6e848f1C4aF89D2d4D4cC350Acbc1F5F93E3,103492092307692000000000
0x1C051112075FeAEe33BCDBe0984C2BB0DB53CF47,102564102564103000000000
0x28d804Bf2212E220BC2B7B6252993Db8286dF07f,102564102564103000000000
0x14A03CA8740A0044E63d3Bb0432540d9509473d1,97493794871794900000000
0xEde81dBF541e36F47E8Af619Efa3Fe701B606915,89691589743589800000000
0x1FE9Fd1156688699F4ca017E72ee0D9873f9d758,88065805128205100000000
0x0B1FDB90501286ebe6087b6660C3a48db9898FAD,84048215384615400000000
0xa8d25C5A6f832a9423038c86529391aA7B7F91a0,83094571762051300000000
0x648AD6f58367B42Ba3EfAb45B220528E4F180437,76722800000000000000000
0xd30391E21741C54c32987bCfcA3D880E6D261Cb0,73100646677948700000000
0x750c31d2290c456FcCA1c659b6AdD80e7A88f881,66394871794871800000000
0x7B6d03eda08626BbfF1aBdf1340B999670e1fc28,65878748717948700000000
0xe65964de92D2d2540e73388B1037c964674D572b,63383917948718000000000
0x6eF3f0fF397C3de367C6cA2Cc3e6B6955E7993A5,61948410256410300000000
0xa18669587490522d0e3c67464C8d4cad22405AFc,58939179487179500000000
0x86282513581c5295Ab5157876E7687FC20deA071,58482051304615400000000
0x36F22F65a3476F42f6Ae813DA097Dd471FcADEb1,53801497435897400000000
0x2f45724d7E384b38D5C97206e78470544304887F,53795302564102600000000
0x3ea4C7dc4aAbb87267073729FF4D1b529469931c,53768492307692300000000
0x7e346f31a13D0a142885ff1A9494829947B48372,52572225641025600000000
0x68057266b9e20A60C55D7b50Eb6f22117b1Eb842,52150482051282100000000
0x8506970Ca968367E87c225C2F63C0A26F5AEad24,51282051282051300000000
0xF5eC36a06475AeC69FA289053963FA6473802AB4,51281179487179500000000
0xC02ad7b9a9121fc849196E844DC869D2250DF3A6,50398861538461500000000
0x20EADfcaf91BD98674FF8fc341D148E1731576A4,45606635897435900000000
0xDf7632EA06b068D7a249f465379D0d549290b1cd,44402256410256400000000
0xf49d2bcC52F0b46a98204721f98Ce9d4e6730BEd,44160410256410300000000
0x33eBB62DC9ddBf6B8F3C0efdF5BccC2e7AC60211,40533435897435900000000
0x91cAaB3C0e9111043C97F5B3F10f614A193a11C9,39292040176410300000000
0xD3802dcE7F7A54d59E7a64329d287624FF3F495a,38625989743589700000000
0x1dA158559F54d81B13dda7b9602cB5E09468aC09,38224225641025600000000
0x3dA9D70305B83Db1f545A5d50B19208b93cD0C21,37102328205128200000000
0x23783f2d297555Fdcbd3CdA4b4cEe5af9DD2a02b,30915794871794900000000
0xE3939654Deae5f54fD3e6B84b3A7F75f245062d8,30854923076923100000000
0x000B79f52356189C80a9d3AdA3911D4438218516,30473651282051300000000
0x70aD81d18F2838b8650D88740d8E337032c9BaAC,28870038421538500000000
0x4e9C104d24cA8aA27c3e1A5d9D3249e96c5bbD80,28770164102564100000000
0xFFfe1F5D42DC16AF7c05D0Aa24D2C649A869B367,28731856410256400000000
0x678fb21b9736e6c7Da9f7d37a77Ab766bb2519c7,26985897435897400000000
0x64B55f553a7648e8bCc1bD99136708d3F37917C5,26623630769230800000000
0x2f5691bC4D8db66908BE10fad913fDc91c99Ce9F,26588082051282100000000
0x06fB3FD7a77274aA9ac0d2b0Bc58A9AC9332D4ba,26106071794871800000000
0x1793CD5916cC6f5b20593e001A1cC3B66268da1f,24588666666666700000000
0xa33c7f924399b59A8Ee627388A108beAb5E12EaF,21391117948717900000000
0x851Af2731E1Fb915E95f0b84d472FaF44BD3583b,20512820512820500000000
0x76bbd639c87AaC623Aad1c3b648E6187A9392DEA,19497723076923100000000
0x14B802407E24fEfFc77B75eaa45c1213e5C0E0D9,18921671794871800000000
0x76cea8d9D3817FE361e1C1d32081F7c1dDB6aAae,18697179487179500000000
0xbE79665B3Dcecfe1DD821f8714bc9bfc441ef92A,18136020512820500000000
0x36837e2c2893b2d34fA80694B70eb53677aa6D4a,16995364102564100000000
0xd35Dc42C3812acE3d313f8303114B731D428a0fa,16902964102564100000000
0x563e8cB3055A3cc0502DC6D603F6dad21E1438Ea,16631969230769200000000
0x69EF38D5A4ffb93579698b457622E8eB42CC4258,16588533333333300000000
0xEDF7b675a2fE3c27efb263fb4c204A3f0fb17D46,16265244182564100000000
0x89B8992AEc28D34eD8579fDe2b10B872DD26e617,16103234280000000000000
0x1da75Fb0DA32653Fdab9DdecDb42F2ed61F8A28b,15384615384615400000000
0x5FbD75846A90e965feFaCFE5D80e8e2bA675D841,15384615384615400000000
0x5ef4Fd1D0f921550104E2a539eEed1f2092d54A1,14799553696410300000000
0xBe289902A13Ae7bA22524cb366B3C3666c10F38F,14346584615384600000000
0x2E15D7AA0650dE1009710FDd45C3468d75AE1392,13339016136410300000000
0x5993Bad196C8786BaAEdB5A5868f338fE6ce4Cc2,12737538461538500000000
0x2bEBa030cdC9c4a47c5aa657974840428b9fEfAc,12021625905641000000000
0x6f9BB7e454f5B3eb2310343f0E99269dC2BB8A1d,11486316714871800000000
0x9a49Fa38d835248225Bf5Eb18E7624430518A99D,10964194871794900000000
0xfBdD5C349D1686d7B15B27f47217c55fE93D2bfc,10887497435897400000000
0x9057e3B928E0b0b9cA2767a68538B3ADB290bc85,10256410256410300000000
