Account,Amount,Part,"$7,800,000.00",Total USDC
0x376955c79b654e1f80733d127394d8008e953882,3591926345772113122,0.029932719548100900,$233475.21,200000.00
0x549c0421c69be943a2a60e76b19b4a801682cbd3,13515018543887617044,0.112625154532397000,$878476.21,200000.00
0x896b94f4f27f12369698c302e2049cae86936bbb,7292539181368300807,0.06077115984473580,$474015.05,200000.00
0xa8d25c5a6f832a9423038c86529391aa7b7f91a0,4284726195841299686,0.03570605163201080,$278507.20,200000.00
0x325c8953add0fba9dea7f65fad6ea44774274e07,6268825702188500485,0.05224021418490420,$407473.67,200000.00
0x1c051112075feaee33bcdbe0984c2bb0db53cf47,3331350965719567728,0.027761258047663100,$216537.81,200000.00
0x0eb4add4ba497357546da7f5d12d39587ca24606,10257850381575740098,0.085482086513131200,$666760.27,200000.00
0x66f932ad6d530603ca9c95aaa9ed6348cbbf018e,4395959849644660420,0.036632998747038800,$285737.39,200000.00
0x14a03ca8740a0044e63d3bb0432540d9509473d1,3588348640345144499,0.029902905336209500,$233242.66,200000.00
0x7e346f31a13d0a142885ff1a9494829947b48372,4987116573792595397,0.041559304781605000,$324162.58,200000.00
0x4c46f9a3da4f7f2911e29dae334ebcf09101a669,2584904219300258230,0.021540868494168800,$168018.77,168018.77
0x0b1fdb90501286ebe6087b6660c3a48db9898fad,2285190319883493873,0.019043252665695800,$148537.37,148537.37
0xf50f1f8635823ac38a3f36af4478ffa8a2810424,2215743479228958044,0.01846452899357470,$144023.33,144023.33
0x7cd7a5a66d3cd2f13559d7f8a052fa6014e07d35,2169188882229457717,0.018076574018578800,$140997.28,140997.28
0xfffe1f5d42dc16af7c05d0aa24d2c649a869b367,1792879587917687789,0.014940663232647400,$116537.17,116537.17
0x90e1f595abc8d731cf82031c974add334b84b29e,1517751837793751354,0.012647931981614600,$98653.87,98653.87
0xb5fc9eef8f391051ecfc1c7d71d617181a56539b,1510094386989273918,0.012584119891577300,$98156.14,98156.14
0x3ef7f258816f6e2868566276647e3776616cbf4d,1485640033142229495,0.012380333609518600,$96566.60,96566.60
0x3ea4c7dc4aabb87267073729ff4d1b529469931c,1420463160511078223,0.011837193004259000,$92330.11,92330.11
0x7bfee91193d9df2ac0bfe90191d40f23c773c060,1407619659088820484,0.01173016382574020,$91495.28,91495.28
0x648ad6f58367b42ba3efab45b220528e4f180437,1300340136528268760,0.010836167804402200,$84522.11,84522.11
0x06fb3fd7a77274aa9ac0d2b0bc58a9ac9332d4ba,1239251741377062577,0.010327097844808900,$80551.36,80551.36
