Account,Amount,Part,"$7,800,000.00",Total USDC
0x549c0421c69be943a2a60e76b19b4a801682cbd3,11740068532815730483,0.097833904440131100,$763104.45,200000.00
0x0eb4add4ba497357546da7f5d12d39587ca24606,10063164380792986398,0.083859703173274900,$654105.68,200000.00
0x28d804bf2212e220bc2b7b6252993db8286df07f,7995599878915625124,0.066629998990963500,$519713.99,200000.00
0x325c8953add0fba9dea7f65fad6ea44774274e07,6868794176811950717,0.057239951473432900,$446471.62,200000.00
0x896b94f4f27f12369698c302e2049cae86936bbb,6778630139994078275,0.056488584499950700,$440610.96,200000.00
0xa8d25c5a6f832a9423038c86529391aa7b7f91a0,4880994701928355555,0.040674955849403000,$317264.66,200000.00
0x376955c79b654e1f80733d127394d8008e953882,4249778302964856461,0.035414819191373800,$276235.59,200000.00
0x4c46f9a3da4f7f2911e29dae334ebcf09101a669,3910631478161630748,0.032588595651346900,$254191.05,200000.00
0x1c051112075feaee33bcdbe0984c2bb0db53cf47,3360913220578047411,0.028007610171483700,$218459.36,200000.00
0xc900741bfcaaa71928cb095ea935aaef393b5347,2791218050849099500,0.023260150423742500,$181429.17,181429.17
0xf50f1f8635823ac38a3f36af4478ffa8a2810424,2594491719247714022,0.021620764327064300,$168641.96,168641.96
0x66f932ad6d530603ca9c95aaa9ed6348cbbf018e,2200877435302698275,0.018340645294189200,$143057.03,143057.03
0xb5fc9eef8f391051ecfc1c7d71d617181a56539b,1808162839549068987,0.015068023662908900,$117530.58,117530.58
0xcde0b57653e62fd54475b09f5039c10bc6a76486,1568411325496098735,0.013070094379134200,$101946.74,101946.74
0x14a03ca8740a0044e63d3bb0432540d9509473d1,1462406929591248087,0.0121867244132604,$95056.45,95056.45
0xf0462427a46a36baa325f4bbd3789209116cdbe0,1394556820232922051,0.01162130683527440,$90646.19,90646.19
0x3ef7f258816f6e2868566276647e3776616cbf4d,1375978220744382030,0.01146648517286990,$89438.58,89438.58
0xede81dbf541e36f47e8af619efa3fe701b606915,1345373832601525433,0.011211448605012700,$87449.30,87449.30
0x1fe9fd1156688699f4ca017e72ee0d9873f9d758,1320987095668670184,0.011008225797238900,$85864.16,85864.16
0x4da2e85d64bece663ccab06e89b970b6b077f22f,1307171741133483317,0.010893097842779000,$84966.16,84966.16
0x7bfee91193d9df2ac0bfe90191d40f23c773c060,1270111913177318032,0.010584265943144300,$82557.27,82557.27
0x0b1fdb90501286ebe6087b6660c3a48db9898fad,1260723159065232727,0.010506026325543600,$81947.01,81947.01
0x648ad6f58367b42ba3efab45b220528e4f180437,1150842028358831748,0.009590350236323600,$74804.73,74804.73
0xfc117cb4c186586f415cebaaa0644aa0ad530b8a,1121657791478123745,0.009347148262317700,$72907.76,72907.76
0x9ed629bc305c5731d43de27cbbe8f77976893c2b,1107877810052524904,0.00923231508377104,$72012.06,72012.06
0xe519f4cd2803ba53a40e6377e82406e548418660,1072776142946771849,0.008939801191223100,$69730.45,69730.45
0xa4db6e848f1c4af89d2d4d4cc350acbc1f5f93e3,936996813196210738,0.007808306776635090,$60904.79,60904.79
0x7cd7a5a66d3cd2f13559d7f8a052fa6014e07d35,892316458540485104,0.007435970487837380,$58000.57,58000.57
0x3ea4c7dc4aabb87267073729ff4d1b529469931c,806527400579244115,0.0067210616714937,$52424.28,52424.28
0x7e346f31a13d0a142885ff1a9494829947b48372,788583389405178625,0.006571528245043160,$51257.92,51257.92
0x68057266b9e20a60c55d7b50eb6f22117b1eb842,782257191188895520,0.006518809926574130,$50846.72,50846.72
0xc02ad7b9a9121fc849196e844dc869d2250df3a6,755982881314117415,0.006299857344284310,$49138.89,49138.89
0xfbb29a94a2d4ccdf151723eba504673c23694e94,714823613244631368,0.005956863443705260,$46463.53,46463.53
0x20eadfcaf91bd98674ff8fc341d148e1731576a4,684099484884168956,0.005700829040701410,$44466.47,44466.47
0xdf7632ea06b068d7a249f465379d0d549290b1cd,666033789135566906,0.005550281576129720,$43292.20,43292.20
0x90e1f595abc8d731cf82031c974add334b84b29e,623271221291812352,0.005193926844098440,$40512.63,40512.63
0x1a31c94f97c649bc2a8adbceb54d1f4a075be4b1,622164770647235629,0.005184706422060300,$40440.71,40440.71
